dataset,task,model,metric,score_single,score_cv,score_multi,delta_single_vs_cv,delta_multi_vs_cv
abalone,regression,LinearRegression,r2,0.548163138045879,0.5260507043232496,0.5230431946703624,0.022112433722629388,-0.003007509652887208
winequality,regression,LinearRegression,r2,0.3408065203047844,0.2917371949012092,0.2913890156889159,0.049069325403575226,-0.00034817921229329807
diabetes,regression,LinearRegression,r2,-0.1320272995371247,-0.0332697249745933,-0.0396814251357426,-0.0987575745625314,-0.006411700161149295
adult,classification,LogisticRegression,accuracy,0.8478427759864886,0.850928996759835,0.8510241056348843,-0.0030862207733464153,9.510887504926568e-05
adult,classification,LogisticRegression,f1,0.6426253155427335,0.6579134198503995,0.6575378668130962,-0.015288104307666028,-0.00037555303730330003
adult,classification,LogisticRegression,roc_auc,0.9026578062664354,0.9054825482774566,,-0.0028247420110211197,
bank_marketing,classification,LogisticRegression,accuracy,0.9098082058752124,0.9107677049680468,0.91053896576839,-0.0009594990928344371,-0.00022873919965682443
bank_marketing,classification,LogisticRegression,f1,0.517845554834523,0.5155229630077046,0.5139939943032373,0.0023225918268183765,-0.0015289687044672817
bank_marketing,classification,LogisticRegression,roc_auc,0.935181132067182,0.9349861053613894,,0.0001950267057926336,
breast_cancer,classification,LogisticRegression,accuracy,0.9006211180124224,0.8941841414047773,0.8934658385093168,0.006436976607645084,-0.0007183028954604875
breast_cancer,classification,LogisticRegression,f1,0.9439775910364144,0.9398664334784042,0.939446310099322,0.004111157558010281,-0.00042012337908214903
breast_cancer,classification,LogisticRegression,roc_auc,0.9016666666666668,0.8638541588659779,,0.0378125078006889,
credit,classification,LogisticRegression,accuracy,0.805,0.7526,0.7458,0.0524,-0.006800000000000028
credit,classification,LogisticRegression,f1,0.8677966101694915,0.8311441321514695,0.826200251076288,0.03665247801802196,-0.004943881075181511
credit,classification,LogisticRegression,roc_auc,0.8166846976800095,0.7871119047619048,,0.029572792918104662,
heart,classification,LogisticRegression,accuracy,0.8195121951219512,0.8660487804878049,0.8646829268292683,-0.0465365853658537,-0.0013658536585365866
heart,classification,LogisticRegression,f1,0.832579185520362,0.8732964694016444,0.8728640937257798,-0.04071728388128237,-0.0004323756758646269
heart,classification,LogisticRegression,roc_auc,0.9081477251094612,0.9371729075117754,,-0.02902518240231422,
ionosphere,classification,LogisticRegression,accuracy,0.8591549295774648,0.8646760563380282,0.8676056338028165,-0.005521126760563488,0.00292957746478828
ionosphere,classification,LogisticRegression,f1,0.8958333333333334,0.9003529678095397,0.9031879375450338,-0.004519634476206291,0.0028349697354941306
ionosphere,classification,LogisticRegression,roc_auc,0.8579734219269104,0.8872635897435898,,-0.02929016781667937,
sonar,classification,LogisticRegression,accuracy,0.7857142857142857,0.7710220673635308,0.7704761904761902,0.014692218350754849,-0.0005458768873406461
sonar,classification,LogisticRegression,f1,0.8363636363636363,0.7862135836215789,0.792721036197472,0.050150052742057416,0.006507452575893136
sonar,classification,LogisticRegression,roc_auc,0.7654320987654321,0.8587052215519034,,-0.09327312278647137,
